region,court,open_latest,open_year_ago,change,pct_change
London,Snaresbrook,4299.0,3798.0,501.0,0.13191153238546605
Midlands,Birmingham,2525.0,2038.0,487.0,0.23895976447497547
London,Isleworth,2454.0,2120.0,334.0,0.15754716981132075
South East,Maidstone,2277.0,2338.0,-61.0,-0.026090675791274595
London,Wood Green,2276.0,2157.0,119.0,0.05516921650440427
North West,Manchester Minshull St,2182.0,2340.0,-158.0,-0.06752136752136752
North East,Newcastle Upon Tyne,2160.0,2044.0,116.0,0.05675146771037182
North East,Leeds,2070.0,2026.0,44.0,0.02171767028627838
London,Woolwich,2010.0,1430.0,580.0,0.40559440559440557
North West,Preston,1948.0,2033.0,-85.0,-0.041810132808657155
Midlands,Nottingham,1897.0,1898.0,-1.0,-0.0005268703898840885
North East,Sheffield,1867.0,1852.0,15.0,0.008099352051835854
London,Inner London Sessions House,1844.0,1358.0,486.0,0.35787923416789397
North West,Manchester Crown Sq,1745.0,1855.0,-110.0,-0.05929919137466307
North West,Liverpool,1745.0,1700.0,45.0,0.026470588235294117
Wales,Cardiff,1729.0,1664.0,65.0,0.0390625
Midlands,Wolverhampton,1711.0,1325.0,386.0,0.29132075471698116
London,Croydon,1702.0,1367.0,335.0,0.24506217995610827
London,Southwark,1672.0,1397.0,275.0,0.1968503937007874
North East,Bradford,1616.0,1393.0,223.0,0.16008614501076812
North East,Teesside,1548.0,1276.0,272.0,0.21316614420062696
South East,Lewes,1465.0,1217.0,248.0,0.2037797863599014
Midlands,Leicester,1409.0,1231.0,178.0,0.1445978878960195
London,Kingston Upon Thames,1362.0,1017.0,345.0,0.3392330383480826
South East,Basildon,1273.0,1429.0,-156.0,-0.10916724982505248
South East,Guildford,1239.0,1219.0,20.0,0.016406890894175553
South West,Bristol,1210.0,1096.0,114.0,0.10401459854014598
South East,Norwich,1208.0,1070.0,138.0,0.12897196261682242
South East,Aylesbury,1183.0,1033.0,150.0,0.1452081316553727
Midlands,Derby,1157.0,1005.0,152.0,0.15124378109452735
Midlands,Warwick,1129.0,1013.0,116.0,0.11451135241855874
South East,Chelmsford,1121.0,1168.0,-47.0,-0.04023972602739726
London,Harrow,1104.0,563.0,541.0,0.9609236234458259
South East,Luton,1085.0,1039.0,46.0,0.04427333974975938
South East,St Albans,1049.0,935.0,114.0,0.12192513368983957
South East,Ipswich,1007.0,1252.0,-245.0,-0.19568690095846644
South East,Reading,1001.0,1042.0,-41.0,-0.03934740882917467
North West,Bolton,968.0,968.0,0.0,0.0
North West,Chester,960.0,866.0,94.0,0.10854503464203233
Midlands,Northampton,891.0,795.0,96.0,0.12075471698113208
Midlands,Stafford,871.0,776.0,95.0,0.12242268041237113
Midlands,Worcester,844.0,845.0,-1.0,-0.001183431952662722
South East,Cambridge,802.0,863.0,-61.0,-0.07068366164542295
South East,Canterbury,769.0,841.0,-72.0,-0.08561236623067776
Midlands,Stoke On Trent,754.0,672.0,82.0,0.12202380952380952
Midlands,Shrewsbury,742.0,685.0,57.0,0.08321167883211679
South West,Bournemouth,718.0,634.0,84.0,0.13249211356466878
South West,Portsmouth,711.0,658.0,53.0,0.08054711246200608
Wales,Swansea,651.0,564.0,87.0,0.15425531914893617
South East,Oxford,623.0,563.0,60.0,0.10657193605683836
London,Central Criminal Court,616.0,759.0,-143.0,-0.18840579710144928
South West,Exeter,607.0,513.0,94.0,0.18323586744639375
North East,Kingston Upon Hull,543.0,593.0,-50.0,-0.08431703204047218
South West,Plymouth,522.0,397.0,125.0,0.3148614609571788
Wales,Mold,512.0,437.0,75.0,0.17162471395881007
North East,Durham,506.0,552.0,-46.0,-0.08333333333333333
North East,York,464.0,446.0,18.0,0.04035874439461883
South West,Southampton,462.0,504.0,-42.0,-0.08333333333333333
South West,Gloucester,446.0,487.0,-41.0,-0.08418891170431211
South West,Taunton,438.0,447.0,-9.0,-0.020134228187919462
Midlands,Lincoln,423.0,495.0,-72.0,-0.14545454545454545
North West,Carlisle,407.0,399.0,8.0,0.020050125313283207
South West,Truro,376.0,353.0,23.0,0.06515580736543909
South West,Winchester,344.0,350.0,-6.0,-0.017142857142857144
South West,Swindon,290.0,275.0,15.0,0.05454545454545454
North East,Great Grimsby,278.0,311.0,-33.0,-0.10610932475884244
South West,Salisbury,165.0,153.0,12.0,0.0784313725490196
South West,Newport (Isle of Wight),120.0,134.0,-14.0,-0.1044776119402985
Unknown,Unknown,101.0,31.0,70.0,2.2580645161290325
South West,Dorchester,,2.0,,
