quarter_end,year,quarter,disposals,open,receipts,net_flow
2016-03-31,2016,Q1,32100.0,48260.0,28680.0,-3420.0
2016-06-30,2016,Q2,31038.0,44863.0,27764.0,-3274.0
2016-09-30,2016,Q3,29598.0,43466.0,28343.0,-1255.0
2016-12-31,2016,Q4,27403.0,43114.0,27221.0,-182.0
2017-03-31,2017,Q1,29989.0,41707.0,28663.0,-1326.0
2017-06-30,2017,Q2,28153.0,41102.0,27754.0,-399.0
2017-09-30,2017,Q3,27938.0,40195.0,27097.0,-841.0
2017-12-31,2017,Q4,26963.0,38976.0,25839.0,-1124.0
2018-03-31,2018,Q1,26968.0,36834.0,24855.0,-2113.0
2018-06-30,2018,Q2,25447.0,35629.0,24350.0,-1097.0
2018-09-30,2018,Q3,25742.0,34633.0,24902.0,-840.0
2018-12-31,2018,Q4,25461.0,33044.0,23985.0,-1476.0
2019-03-31,2019,Q1,25310.0,33109.0,25288.0,-22.0
2019-06-30,2019,Q2,24179.0,34222.0,25356.0,1177.0
2019-09-30,2019,Q3,24754.0,35414.0,26074.0,1320.0
2019-12-31,2019,Q4,23132.0,38108.0,25679.0,2547.0
2020-03-31,2020,Q1,22813.0,40953.0,25538.0,2725.0
2020-06-30,2020,Q2,12045.0,43139.0,14001.0,1956.0
2020-09-30,2020,Q3,19922.0,51300.0,28231.0,8309.0
2020-12-31,2020,Q4,21792.0,57041.0,27677.0,5885.0
2021-03-31,2021,Q1,23074.0,59809.0,25884.0,2810.0
2021-06-30,2021,Q2,23570.0,60832.0,24711.0,1141.0
2021-09-30,2021,Q3,23588.0,59906.0,22931.0,-657.0
2021-12-31,2021,Q4,23151.0,58584.0,21965.0,-1186.0
2022-03-31,2022,Q1,24450.0,58106.0,24047.0,-403.0
2022-06-30,2022,Q2,22205.0,59410.0,23613.0,1408.0
2022-09-30,2022,Q3,19697.0,62994.0,23530.0,3833.0
2022-12-31,2022,Q4,23754.0,62654.0,23523.0,-231.0
2023-03-31,2023,Q1,25417.0,61983.0,24810.0,-607.0
2023-06-30,2023,Q2,24003.0,64580.0,26896.0,2893.0
2023-09-30,2023,Q3,26403.0,66299.0,28341.0,1938.0
2023-12-31,2023,Q4,26288.0,67113.0,27324.0,1036.0
2024-03-31,2024,Q1,28222.0,68828.0,29990.0,1768.0
2024-06-30,2024,Q2,28176.0,70725.0,30358.0,2182.0
2024-09-30,2024,Q3,29500.0,72736.0,31747.0,2247.0
2024-12-31,2024,Q4,28210.0,74106.0,29527.0,1317.0
2025-03-31,2025,Q1,27963.0,76445.0,30169.0,2206.0
2025-06-30,2025,Q2,28807.0,77930.0,30485.0,1678.0
2025-09-30,2025,Q3,28818.0,79446.0,30388.0,1570.0
2025-12-31,2025,Q4,28812.0,80203.0,29482.0,670.0
