quarter_end,year,quarter,age_band,age_order,count
2016-03-31,2016,Q1,Under 4 weeks,1.0,7899.0
2016-03-31,2016,Q1,4 to 8 weeks,2.0,6432.0
2016-03-31,2016,Q1,8 to 12 weeks,3.0,4888.0
2016-03-31,2016,Q1,12 to 16 weeks,4.0,4142.0
2016-03-31,2016,Q1,16 to 20 weeks,5.0,4016.0
2016-03-31,2016,Q1,20 to 26 weeks,6.0,4930.0
2016-03-31,2016,Q1,6 months to under 1 year,7.0,9247.0
2016-03-31,2016,Q1,1 to 2 years,8.0,4300.0
2016-03-31,2016,Q1,2 years or more,9.0,902.0
2016-06-30,2016,Q2,Under 4 weeks,1.0,8195.0
2016-06-30,2016,Q2,4 to 8 weeks,2.0,5840.0
2016-06-30,2016,Q2,8 to 12 weeks,3.0,4493.0
2016-06-30,2016,Q2,12 to 16 weeks,4.0,3673.0
2016-06-30,2016,Q2,16 to 20 weeks,5.0,3344.0
2016-06-30,2016,Q2,20 to 26 weeks,6.0,4138.0
2016-06-30,2016,Q2,6 months to under 1 year,7.0,8989.0
2016-06-30,2016,Q2,1 to 2 years,8.0,3901.0
2016-06-30,2016,Q2,2 years or more,9.0,925.0
2016-09-30,2016,Q3,Under 4 weeks,1.0,8295.0
2016-09-30,2016,Q3,4 to 8 weeks,2.0,5585.0
2016-09-30,2016,Q3,8 to 12 weeks,3.0,4522.0
2016-09-30,2016,Q3,12 to 16 weeks,4.0,3830.0
2016-09-30,2016,Q3,16 to 20 weeks,5.0,3317.0
2016-09-30,2016,Q3,20 to 26 weeks,6.0,3969.0
2016-09-30,2016,Q3,6 months to under 1 year,7.0,7918.0
2016-09-30,2016,Q3,1 to 2 years,8.0,3744.0
2016-09-30,2016,Q3,2 years or more,9.0,951.0
2016-12-31,2016,Q4,Under 4 weeks,1.0,7335.0
2016-12-31,2016,Q4,4 to 8 weeks,2.0,6528.0
2016-12-31,2016,Q4,8 to 12 weeks,3.0,4723.0
2016-12-31,2016,Q4,12 to 16 weeks,4.0,3995.0
2016-12-31,2016,Q4,16 to 20 weeks,5.0,3276.0
2016-12-31,2016,Q4,20 to 26 weeks,6.0,3898.0
2016-12-31,2016,Q4,6 months to under 1 year,7.0,7506.0
2016-12-31,2016,Q4,1 to 2 years,8.0,3605.0
2016-12-31,2016,Q4,2 years or more,9.0,942.0
2017-03-31,2017,Q1,Under 4 weeks,1.0,8537.0
2017-03-31,2017,Q1,4 to 8 weeks,2.0,5939.0
2017-03-31,2017,Q1,8 to 12 weeks,3.0,4404.0
2017-03-31,2017,Q1,12 to 16 weeks,4.0,3429.0
2017-03-31,2017,Q1,16 to 20 weeks,5.0,3382.0
2017-03-31,2017,Q1,20 to 26 weeks,6.0,3854.0
2017-03-31,2017,Q1,6 months to under 1 year,7.0,7045.0
2017-03-31,2017,Q1,1 to 2 years,8.0,2946.0
2017-03-31,2017,Q1,2 years or more,9.0,982.0
2017-06-30,2017,Q2,Under 4 weeks,1.0,8272.0
2017-06-30,2017,Q2,4 to 8 weeks,2.0,5789.0
2017-06-30,2017,Q2,8 to 12 weeks,3.0,4368.0
2017-06-30,2017,Q2,12 to 16 weeks,4.0,4090.0
2017-06-30,2017,Q2,16 to 20 weeks,5.0,3276.0
2017-06-30,2017,Q2,20 to 26 weeks,6.0,3673.0
2017-06-30,2017,Q2,6 months to under 1 year,7.0,6704.0
2017-06-30,2017,Q2,1 to 2 years,8.0,2788.0
2017-06-30,2017,Q2,2 years or more,9.0,959.0
2017-09-30,2017,Q3,Under 4 weeks,1.0,7541.0
2017-09-30,2017,Q3,4 to 8 weeks,2.0,5384.0
2017-09-30,2017,Q3,8 to 12 weeks,3.0,4574.0
2017-09-30,2017,Q3,12 to 16 weeks,4.0,4016.0
2017-09-30,2017,Q3,16 to 20 weeks,5.0,3324.0
2017-09-30,2017,Q3,20 to 26 weeks,6.0,3879.0
2017-09-30,2017,Q3,6 months to under 1 year,7.0,6829.0
2017-09-30,2017,Q3,1 to 2 years,8.0,2591.0
2017-09-30,2017,Q3,2 years or more,9.0,938.0
2017-12-31,2017,Q4,Under 4 weeks,1.0,6659.0
2017-12-31,2017,Q4,4 to 8 weeks,2.0,6034.0
2017-12-31,2017,Q4,8 to 12 weeks,3.0,4520.0
