quarter_end,year,quarter,total_cases,valid_cases,open_1yr_plus,share_1yr_plus
2016-03-31,2016,Q1,48260.0,46756.0,5202.0,0.11125844811361109
2016-06-30,2016,Q2,44863.0,43498.0,4826.0,0.11094762977608166
2016-09-30,2016,Q3,43466.0,42131.0,4695.0,0.11143813344093423
2016-12-31,2016,Q4,43114.0,41808.0,4547.0,0.10875908916953693
2017-03-31,2017,Q1,41707.0,40518.0,3928.0,0.09694456784638926
2017-06-30,2017,Q2,41102.0,39919.0,3747.0,0.09386507678048048
2017-09-30,2017,Q3,40195.0,39076.0,3529.0,0.09031118845327055
2017-12-31,2017,Q4,38976.0,37891.0,3435.0,0.09065477290121665
2018-03-31,2018,Q1,36834.0,35719.0,3328.0,0.09317170133542373
2018-06-30,2018,Q2,35629.0,34552.0,3296.0,0.0953924519564714
2018-09-30,2018,Q3,34633.0,33609.0,3086.0,0.09182064328007379
2018-12-31,2018,Q4,33044.0,32052.0,2579.0,0.08046299762885312
2019-03-31,2019,Q1,33109.0,32149.0,2398.0,0.0745901894304644
2019-06-30,2019,Q2,34222.0,33220.0,2244.0,0.06754966887417219
2019-09-30,2019,Q3,35414.0,34276.0,2292.0,0.06686894620142374
2019-12-31,2019,Q4,38108.0,36774.0,2393.0,0.06507314950780442
2020-03-31,2020,Q1,40953.0,39440.0,3028.0,0.07677484787018256
2020-06-30,2020,Q2,43139.0,41607.0,4858.0,0.11675919917321605
2020-09-30,2020,Q3,51300.0,49569.0,7303.0,0.14732998446609777
2020-12-31,2020,Q4,57041.0,55106.0,10305.0,0.18700323013827896
2021-03-31,2021,Q1,59809.0,57793.0,12151.0,0.21025037634315574
2021-06-30,2021,Q2,60832.0,58557.0,11245.0,0.1920351110883413
2021-09-30,2021,Q3,59906.0,57494.0,13057.0,0.22710195846523115
2021-12-31,2021,Q4,58584.0,56218.0,14480.0,0.2575687502223487
2022-03-31,2022,Q1,58106.0,55587.0,15399.0,0.27702520373468614
2022-06-30,2022,Q2,59410.0,56860.0,16171.0,0.2844002813928948
2022-09-30,2022,Q3,62994.0,60090.0,16901.0,0.281261441171576
2022-12-31,2022,Q4,62654.0,59571.0,16731.0,0.2808581356700408
2023-03-31,2023,Q1,61983.0,58787.0,16530.0,0.28118461564631636
2023-06-30,2023,Q2,64580.0,61452.0,16529.0,0.2689741586929636
2023-09-30,2023,Q3,66299.0,63083.0,16310.0,0.25854826181380086
2023-12-31,2023,Q4,67113.0,63737.0,16126.0,0.25300845662644933
2024-03-31,2024,Q1,68828.0,65379.0,16134.0,0.2467764878630753
2024-06-30,2024,Q2,70725.0,67273.0,16311.0,0.2424598278655627
2024-09-30,2024,Q3,72736.0,69065.0,16149.0,0.2338232100195468
2024-12-31,2024,Q4,74106.0,70223.0,16584.0,0.23616194124432166
2025-03-31,2025,Q1,76445.0,72439.0,17844.0,0.24633139607117713
2025-06-30,2025,Q2,77930.0,73923.0,18964.0,0.2565372076349715
2025-09-30,2025,Q3,79446.0,75230.0,20052.0,0.26654260268509905
2025-12-31,2025,Q4,80203.0,75799.0,21002.0,0.2770748954471695
