region,court,open_latest,annual_disposals,years_of_backlog
London,Southwark,1672.0,1258.0,1.329093799682035
London,Croydon,1702.0,1451.0,1.1729841488628532
London,Harrow,1104.0,949.0,1.1633298208640674
London,Woolwich,2010.0,1825.0,1.1013698630136985
South East,Maidstone,2277.0,2068.0,1.101063829787234
London,Snaresbrook,4299.0,3994.0,1.0763645468202303
Midlands,Shrewsbury,742.0,742.0,1.0
London,Inner London Sessions House,1844.0,1846.0,0.9989165763813651
Midlands,Stafford,871.0,911.0,0.9560922063666301
Midlands,Wolverhampton,1711.0,1793.0,0.9542665923034022
South East,Aylesbury,1183.0,1263.0,0.936658749010293
London,Wood Green,2276.0,2566.0,0.886983632112237
South West,Plymouth,522.0,596.0,0.8758389261744967
South East,Norwich,1208.0,1410.0,0.8567375886524823
London,Isleworth,2454.0,2922.0,0.839835728952772
London,Kingston Upon Thames,1362.0,1631.0,0.8350705088902514
South East,Guildford,1239.0,1525.0,0.8124590163934426
North East,Bradford,1616.0,2029.0,0.7964514539181863
South East,Luton,1085.0,1369.0,0.7925493060628196
Midlands,Stoke On Trent,754.0,960.0,0.7854166666666667
Midlands,Birmingham,2525.0,3218.0,0.7846488502175264
South East,St Albans,1049.0,1352.0,0.775887573964497
Midlands,Worcester,844.0,1092.0,0.7728937728937729
London,Central Criminal Court,616.0,817.0,0.7539779681762546
South West,Bournemouth,718.0,955.0,0.7518324607329843
North West,Manchester Minshull St,2182.0,2971.0,0.7344328508919555
Midlands,Nottingham,1897.0,2644.0,0.7174735249621785
Midlands,Leicester,1409.0,1986.0,0.7094662638469285
Midlands,Northampton,891.0,1267.0,0.7032359905288083
South East,Basildon,1273.0,1817.0,0.7006053935057788
Midlands,Derby,1157.0,1672.0,0.6919856459330144
Midlands,Warwick,1129.0,1644.0,0.6867396593673966
North East,Teesside,1548.0,2259.0,0.6852589641434262
South West,Swindon,290.0,428.0,0.677570093457944
South East,Chelmsford,1121.0,1655.0,0.6773413897280967
South East,Oxford,623.0,942.0,0.6613588110403397
South East,Lewes,1465.0,2221.0,0.6596127870328681
North East,Newcastle Upon Tyne,2160.0,3367.0,0.6415206415206415
South East,Reading,1001.0,1584.0,0.6319444444444444
North West,Bolton,968.0,1570.0,0.6165605095541401
South East,Ipswich,1007.0,1635.0,0.6159021406727829
North West,Chester,960.0,1561.0,0.6149903907751442
North West,Manchester Crown Sq,1745.0,2848.0,0.6127106741573034
North East,Sheffield,1867.0,3098.0,0.6026468689477082
South West,Taunton,438.0,748.0,0.5855614973262032
South West,Bristol,1210.0,2100.0,0.5761904761904761
South West,Gloucester,446.0,798.0,0.5588972431077694
South West,Exeter,607.0,1090.0,0.5568807339449541
North East,Durham,506.0,917.0,0.5517993456924755
North East,Leeds,2070.0,3765.0,0.549800796812749
South East,Canterbury,769.0,1429.0,0.5381385584324703
North East,York,464.0,863.0,0.5376593279258401
South West,Portsmouth,711.0,1327.0,0.5357950263752826
South East,Cambridge,802.0,1571.0,0.5105028644175684
Wales,Cardiff,1729.0,3443.0,0.5021783328492594
North West,Preston,1948.0,3949.0,0.4932894403646493
South West,Truro,376.0,774.0,0.48578811369509045
North West,Carlisle,407.0,860.0,0.47325581395348837
South West,Southampton,462.0,1030.0,0.44854368932038835
South West,Winchester,344.0,773.0,0.445019404915912
Midlands,Lincoln,423.0,967.0,0.43743536711478803
Wales,Mold,512.0,1232.0,0.4155844155844156
Wales,Swansea,651.0,1650.0,0.39454545454545453
North East,Great Grimsby,278.0,721.0,0.3855755894590846
North West,Liverpool,1745.0,4665.0,0.3740621650589496
North East,Kingston Upon Hull,543.0,1484.0,0.36590296495956875
