quarter_end,year,quarter,offence,open_1yr_plus,share_of_quarter
2016-03-31,2016,Q1,Violence against the person,1030.0,0.198000768935025
2016-03-31,2016,Q1,Miscellaneous crimes against society,923.0,0.1774317570165321
2016-03-31,2016,Q1,Sexual offences,643.0,0.12360630526720492
2016-03-31,2016,Q1,Drug offences,616.0,0.1184159938485198
2016-03-31,2016,Q1,Fraud offences,548.0,0.1053440984236832
2016-03-31,2016,Q1,Theft offences,464.0,0.08919646289888504
2016-03-31,2016,Q1,Not known,291.0,0.05594002306805075
2016-03-31,2016,Q1,Possession of weapons,181.0,0.03479430988081507
2016-03-31,2016,Q1,Robbery,176.0,0.03383314109957709
2016-03-31,2016,Q1,Public order offences,149.0,0.028642829680891966
2016-03-31,2016,Q1,Criminal damage and arson,71.0,0.013648596693579393
2016-03-31,2016,Q1,Summary non-motoring,65.0,0.012495194156093811
2016-03-31,2016,Q1,Summary motoring,44.0,0.008458285274894272
2016-03-31,2016,Q1,Other,1.0,0.00019223375624759708
2016-06-30,2016,Q2,Violence against the person,997.0,0.20658930791545793
2016-06-30,2016,Q2,Miscellaneous crimes against society,824.0,0.17074181516784087
2016-06-30,2016,Q2,Sexual offences,603.0,0.12494819726481558
2016-06-30,2016,Q2,Drug offences,572.0,0.11852465810194779
2016-06-30,2016,Q2,Fraud offences,498.0,0.10319104848736013
2016-06-30,2016,Q2,Theft offences,415.0,0.08599254040613344
2016-06-30,2016,Q2,Not known,279.0,0.05781185246581019
2016-06-30,2016,Q2,Robbery,172.0,0.035640281806879406
2016-06-30,2016,Q2,Possession of weapons,156.0,0.03232490675507667
2016-06-30,2016,Q2,Public order offences,134.0,0.027766266058847907
2016-06-30,2016,Q2,Summary non-motoring,73.0,0.015126398673849979
2016-06-30,2016,Q2,Criminal damage and arson,67.0,0.013883133029423953
2016-06-30,2016,Q2,Summary motoring,35.0,0.0072523829258184834
2016-06-30,2016,Q2,Other,1.0,0.00020721094073767094
2016-09-30,2016,Q3,Violence against the person,932.0,0.19850905218317358
2016-09-30,2016,Q3,Miscellaneous crimes against society,833.0,0.17742279020234292
2016-09-30,2016,Q3,Sexual offences,649.0,0.1382321618743344
2016-09-30,2016,Q3,Drug offences,564.0,0.12012779552715655
2016-09-30,2016,Q3,Fraud offences,441.0,0.0939297124600639
2016-09-30,2016,Q3,Theft offences,388.0,0.08264110756123536
2016-09-30,2016,Q3,Not known,291.0,0.061980830670926516
2016-09-30,2016,Q3,Robbery,154.0,0.032800851970181046
2016-09-30,2016,Q3,Possession of weapons,145.0,0.0308839190628328
2016-09-30,2016,Q3,Public order offences,123.0,0.02619808306709265
2016-09-30,2016,Q3,Criminal damage and arson,83.0,0.017678381256656016
2016-09-30,2016,Q3,Summary non-motoring,59.0,0.012566560170394037
2016-09-30,2016,Q3,Summary motoring,32.0,0.006815761448349307
2016-09-30,2016,Q3,Other,1.0,0.00021299254526091586
2016-12-31,2016,Q4,Violence against the person,856.0,0.1882559929623928
2016-12-31,2016,Q4,Miscellaneous crimes against society,831.0,0.18275786232680888
2016-12-31,2016,Q4,Sexual offences,677.0,0.14888937761161206
2016-12-31,2016,Q4,Drug offences,500.0,0.10996261271167802
2016-12-31,2016,Q4,Fraud offences,413.0,0.09082911809984605
2016-12-31,2016,Q4,Theft offences,382.0,0.08401143611172202
2016-12-31,2016,Q4,Not known,291.0,0.06399824059819662
2016-12-31,2016,Q4,Robbery,151.0,0.03320870903892677
2016-12-31,2016,Q4,Possession of weapons,146.0,0.032109082911809986
