quarter_end,year,quarter,region,geo_level,valid_cases,open_1yr_plus,share_1yr_plus
2016-03-31,2016,Q1,South East,region,8761.0,1176.0,0.13423125214016665
2016-03-31,2016,Q1,London,region,10001.0,1173.0,0.11728827117288271
2016-03-31,2016,Q1,Midlands,region,8428.0,987.0,0.11710963455149502
2016-03-31,2016,Q1,South West,region,3725.0,418.0,0.11221476510067115
2016-03-31,2016,Q1,England and Wales,national,46756.0,5202.0,0.11125844811361109
2016-03-31,2016,Q1,North West,region,7037.0,706.0,0.10032684382549382
2016-03-31,2016,Q1,North East,region,7005.0,645.0,0.09207708779443255
2016-03-31,2016,Q1,Wales,region,1799.0,97.0,0.05391884380211229
2016-06-30,2016,Q2,South East,region,8242.0,1149.0,0.1394079107012861
2016-06-30,2016,Q2,Midlands,region,7865.0,959.0,0.12193261284170374
2016-06-30,2016,Q2,England and Wales,national,43498.0,4826.0,0.11094762977608166
2016-06-30,2016,Q2,North West,region,6452.0,715.0,0.11081835089894607
2016-06-30,2016,Q2,London,region,9259.0,954.0,0.10303488497677935
2016-06-30,2016,Q2,North East,region,6564.0,647.0,0.0985679463741621
2016-06-30,2016,Q2,South West,region,3447.0,325.0,0.09428488540760081
2016-06-30,2016,Q2,Wales,region,1669.0,77.0,0.046135410425404436
2016-09-30,2016,Q3,South East,region,7713.0,1062.0,0.13768961493582263
2016-09-30,2016,Q3,Midlands,region,7787.0,1007.0,0.12931809425966354
2016-09-30,2016,Q3,North West,region,6183.0,715.0,0.11563965712437328
2016-09-30,2016,Q3,England and Wales,national,42131.0,4695.0,0.11143813344093423
2016-09-30,2016,Q3,North East,region,6570.0,729.0,0.11095890410958904
2016-09-30,2016,Q3,London,region,8925.0,844.0,0.09456582633053222
2016-09-30,2016,Q3,South West,region,3374.0,266.0,0.07883817427385892
2016-09-30,2016,Q3,Wales,region,1579.0,72.0,0.045598480050664976
2016-12-31,2016,Q4,Midlands,region,7839.0,1115.0,0.1422375302972318
2016-12-31,2016,Q4,South East,region,7863.0,1000.0,0.12717792191275595
2016-12-31,2016,Q4,North East,region,6547.0,747.0,0.11409806018023522
2016-12-31,2016,Q4,England and Wales,national,41808.0,4547.0,0.10875908916953693
2016-12-31,2016,Q4,North West,region,6059.0,642.0,0.1059580788909061
2016-12-31,2016,Q4,London,region,8529.0,749.0,0.08781803259467698
2016-12-31,2016,Q4,South West,region,3437.0,225.0,0.06546406750072738
2016-12-31,2016,Q4,Wales,region,1534.0,69.0,0.044980443285528034
2017-03-31,2017,Q1,Midlands,region,7356.0,960.0,0.13050570962479607
2017-03-31,2017,Q1,North East,region,6579.0,723.0,0.10989512083903329
2017-03-31,2017,Q1,North West,region,5737.0,604.0,0.10528150601359595
2017-03-31,2017,Q1,South East,region,7554.0,762.0,0.10087370929308975
2017-03-31,2017,Q1,England and Wales,national,40518.0,3928.0,0.09694456784638926
2017-03-31,2017,Q1,London,region,8316.0,629.0,0.07563732563732564
2017-03-31,2017,Q1,South West,region,3390.0,187.0,0.055162241887905604
2017-03-31,2017,Q1,Wales,region,1586.0,63.0,0.03972257250945776
2017-06-30,2017,Q2,Midlands,region,7264.0,921.0,0.12678964757709252
2017-06-30,2017,Q2,North East,region,6605.0,747.0,0.11309613928841787
2017-06-30,2017,Q2,North West,region,5476.0,536.0,0.09788166544923302
2017-06-30,2017,Q2,South East,region,7452.0,704.0,0.09447128287707998
2017-06-30,2017,Q2,England and Wales,national,39919.0,3747.0,0.09386507678048048
2017-06-30,2017,Q2,London,region,8332.0,602.0,0.07225156024963994
2017-06-30,2017,Q2,South West,region,3126.0,173.0,0.055342290467050546
2017-06-30,2017,Q2,Wales,region,1664.0,64.0,0.038461538461538464
2017-09-30,2017,Q3,Midlands,region,7086.0,909.0,0.12828111769686706
2017-09-30,2017,Q3,North East,region,6533.0,745.0,0.11403643043012399
2017-09-30,2017,Q3,England and Wales,national,39076.0,3529.0,0.09031118845327055
2017-09-30,2017,Q3,North West,region,5153.0,460.0,0.0892683873471764
2017-09-30,2017,Q3,South East,region,7379.0,615.0,0.08334462664317659
2017-09-30,2017,Q3,London,region,8268.0,577.0,0.06978713110788583
2017-09-30,2017,Q3,South West,region,3113.0,158.0,0.05075489881143591
2017-09-30,2017,Q3,Wales,region,1544.0,65.0,0.04209844559585492
2017-12-31,2017,Q4,Midlands,region,6860.0,921.0,0.13425655976676384
2017-12-31,2017,Q4,North East,region,6168.0,682.0,0.11057068741893644
2017-12-31,2017,Q4,England and Wales,national,37891.0,3435.0,0.09065477290121665
2017-12-31,2017,Q4,South East,region,7153.0,616.0,0.08611771284775618
2017-12-31,2017,Q4,North West,region,5078.0,417.0,0.08211894446632532
2017-12-31,2017,Q4,London,region,7881.0,578.0,0.0733409465803832
2017-12-31,2017,Q4,South West,region,3121.0,162.0,0.051906440243511695
2017-12-31,2017,Q4,Wales,region,1630.0,59.0,0.03619631901840491
2018-03-31,2018,Q1,Midlands,region,6501.0,858.0,0.1319796954314721
2018-03-31,2018,Q1,North East,region,5769.0,682.0,0.11821806205581556
2018-03-31,2018,Q1,England and Wales,national,35719.0,3328.0,0.09317170133542373
2018-03-31,2018,Q1,South East,region,6702.0,601.0,0.08967472396299613
2018-03-31,2018,Q1,London,region,7447.0,630.0,0.08459782462736673
2018-03-31,2018,Q1,North West,region,4705.0,339.0,0.0720510095642933
2018-03-31,2018,Q1,South West,region,3063.0,150.0,0.04897159647404505
2018-03-31,2018,Q1,Wales,region,1532.0,68.0,0.044386422976501305
2018-06-30,2018,Q2,Midlands,region,6325.0,857.0,0.13549407114624507
2018-06-30,2018,Q2,North East,region,5637.0,652.0,0.11566436047543019
2018-06-30,2018,Q2,England and Wales,national,34552.0,3296.0,0.0953924519564714
2018-06-30,2018,Q2,London,region,7115.0,678.0,0.09529163738580464
2018-06-30,2018,Q2,South East,region,6508.0,554.0,0.0851259987707437
2018-06-30,2018,Q2,North West,region,4597.0,330.0,0.07178594735697194
2018-06-30,2018,Q2,South West,region,2855.0,162.0,0.056742556917688265
2018-06-30,2018,Q2,Wales,region,1515.0,63.0,0.041584158415841586
2018-09-30,2018,Q3,Midlands,region,6150.0,804.0,0.13073170731707318
2018-09-30,2018,Q3,North East,region,5490.0,623.0,0.11347905282331512
2018-09-30,2018,Q3,London,region,6989.0,645.0,0.09228788095578766
2018-09-30,2018,Q3,England and Wales,national,33609.0,3086.0,0.09182064328007379
2018-09-30,2018,Q3,South East,region,6189.0,498.0,0.08046534173533688
2018-09-30,2018,Q3,North West,region,4447.0,303.0,0.06813582190240612
2018-09-30,2018,Q3,South West,region,2861.0,147.0,0.051380636141209364
2018-09-30,2018,Q3,Wales,region,1483.0,66.0,0.044504383007417395
2018-12-31,2018,Q4,Midlands,region,5772.0,651.0,0.11278586278586279
2018-12-31,2018,Q4,North East,region,5282.0,522.0,0.09882620219613783
2018-12-31,2018,Q4,London,region,6650.0,595.0,0.08947368421052632
2018-12-31,2018,Q4,England and Wales,national,32052.0,2579.0,0.08046299762885312
2018-12-31,2018,Q4,South East,region,5640.0,374.0,0.06631205673758865
2018-12-31,2018,Q4,North West,region,4403.0,252.0,0.057233704292527825
2018-12-31,2018,Q4,Wales,region,1398.0,66.0,0.04721030042918455
2018-12-31,2018,Q4,South West,region,2907.0,119.0,0.04093567251461988
2019-03-31,2019,Q1,Midlands,region,5791.0,595.0,0.10274563978587463
2019-03-31,2019,Q1,London,region,6588.0,602.0,0.09137826350941106
2019-03-31,2019,Q1,North East,region,5298.0,443.0,0.0836164590411476
2019-03-31,2019,Q1,England and Wales,national,32149.0,2398.0,0.0745901894304644
2019-03-31,2019,Q1,South East,region,5521.0,346.0,0.06266980619452997
2019-03-31,2019,Q1,North West,region,4580.0,226.0,0.049344978165938864
2019-03-31,2019,Q1,Wales,region,1426.0,63.0,0.04417952314165498
2019-03-31,2019,Q1,South West,region,2945.0,123.0,0.04176570458404075
2019-06-30,2019,Q2,Midlands,region,6045.0,539.0,0.0891645988420182
2019-06-30,2019,Q2,London,region,6936.0,595.0,0.0857843137254902
2019-06-30,2019,Q2,North East,region,5355.0,405.0,0.07563025210084033
2019-06-30,2019,Q2,England and Wales,national,33220.0,2244.0,0.06754966887417219
2019-06-30,2019,Q2,South East,region,5768.0,324.0,0.05617198335644938
2019-06-30,2019,Q2,North West,region,4689.0,232.0,0.04947750053316272
2019-06-30,2019,Q2,South West,region,2956.0,113.0,0.03822733423545332
2019-06-30,2019,Q2,Wales,region,1471.0,36.0,0.024473147518694765
2019-09-30,2019,Q3,Midlands,region,6181.0,507.0,0.08202556220676266
2019-09-30,2019,Q3,London,region,7407.0,576.0,0.07776427703523693
2019-09-30,2019,Q3,North East,region,5547.0,423.0,0.07625743645213628
2019-09-30,2019,Q3,England and Wales,national,34276.0,2292.0,0.06686894620142374
2019-09-30,2019,Q3,North West,region,4507.0,259.0,0.05746616374528511
2019-09-30,2019,Q3,South East,region,6198.0,352.0,0.05679251371410132
2019-09-30,2019,Q3,South West,region,3045.0,132.0,0.04334975369458128
2019-09-30,2019,Q3,Wales,region,1391.0,43.0,0.030913012221423435
2019-12-31,2019,Q4,London,region,8229.0,667.0,0.08105480617328958
2019-12-31,2019,Q4,Midlands,region,6426.0,512.0,0.07967631497043262
2019-12-31,2019,Q4,North East,region,5796.0,453.0,0.07815734989648034
2019-12-31,2019,Q4,England and Wales,national,36774.0,2393.0,0.06507314950780442
2019-12-31,2019,Q4,North West,region,4589.0,246.0,0.05360645020701678
2019-12-31,2019,Q4,South East,region,6870.0,355.0,0.05167394468704512
2019-12-31,2019,Q4,South West,region,3339.0,122.0,0.03653788559448937
2019-12-31,2019,Q4,Wales,region,1525.0,38.0,0.024918032786885248
2020-03-31,2020,Q1,London,region,8956.0,865.0,0.09658329611433676
2020-03-31,2020,Q1,Midlands,region,7033.0,652.0,0.09270581544149012
2020-03-31,2020,Q1,North East,region,5974.0,484.0,0.08101774355540677
2020-03-31,2020,Q1,England and Wales,national,39440.0,3028.0,0.07677484787018256
2020-03-31,2020,Q1,South East,region,7661.0,553.0,0.07218378801723013
2020-03-31,2020,Q1,North West,region,4939.0,270.0,0.05466693662684754
2020-03-31,2020,Q1,South West,region,3307.0,164.0,0.04959177502267917
2020-03-31,2020,Q1,Wales,region,1570.0,40.0,0.025477707006369428
2020-06-30,2020,Q2,London,region,10133.0,1414.0,0.13954406394947202
2020-06-30,2020,Q2,Midlands,region,7148.0,972.0,0.13598209289311697
2020-06-30,2020,Q2,England and Wales,national,41607.0,4858.0,0.11675919917321605
2020-06-30,2020,Q2,North East,region,6307.0,719.0,0.11400031710797527
2020-06-30,2020,Q2,South East,region,8081.0,915.0,0.11322856082168048
2020-06-30,2020,Q2,North West,region,5013.0,486.0,0.09694793536804308
2020-06-30,2020,Q2,South West,region,3176.0,272.0,0.08564231738035265
2020-06-30,2020,Q2,Wales,region,1749.0,80.0,0.045740423098913664
2020-09-30,2020,Q3,London,region,12416.0,2230.0,0.1796069587628866
2020-09-30,2020,Q3,Midlands,region,8405.0,1436.0,0.17085068411659726
2020-09-30,2020,Q3,South East,region,9249.0,1396.0,0.15093523624175587
2020-09-30,2020,Q3,England and Wales,national,49569.0,7303.0,0.14732998446609777
2020-09-30,2020,Q3,North East,region,7161.0,978.0,0.1365731043150398
2020-09-30,2020,Q3,North West,region,6297.0,748.0,0.11878672383674765
2020-09-30,2020,Q3,South West,region,3978.0,398.0,0.10005027652086476
2020-09-30,2020,Q3,Wales,region,2063.0,117.0,0.05671352399418323
2020-12-31,2020,Q4,London,region,13796.0,3209.0,0.23260365323282112
2020-12-31,2020,Q4,Midlands,region,9659.0,2055.0,0.21275494357593955
2020-12-31,2020,Q4,England and Wales,national,55106.0,10305.0,0.18700323013827896
2020-12-31,2020,Q4,South East,region,10469.0,1947.0,0.1859776482949661
2020-12-31,2020,Q4,North East,region,7931.0,1238.0,0.1560963308536124
2020-12-31,2020,Q4,North West,region,7028.0,1095.0,0.1558053500284576
2020-12-31,2020,Q4,South West,region,4037.0,571.0,0.14144166460242755
2020-12-31,2020,Q4,Wales,region,2182.0,190.0,0.08707607699358387
2021-03-31,2021,Q1,London,region,14942.0,3939.0,0.26361932806853167
2021-03-31,2021,Q1,Midlands,region,10293.0,2412.0,0.23433401340716992
2021-03-31,2021,Q1,South East,region,11069.0,2409.0,0.2176348360285482
2021-03-31,2021,Q1,England and Wales,national,57793.0,12151.0,0.21025037634315574
2021-03-31,2021,Q1,North West,region,7267.0,1257.0,0.17297371680198156
2021-03-31,2021,Q1,North East,region,8028.0,1370.0,0.17065271549576483
2021-03-31,2021,Q1,South West,region,4067.0,550.0,0.13523481681829358
2021-03-31,2021,Q1,Wales,region,2127.0,214.0,0.1006111894687353
2021-06-30,2021,Q2,London,region,15452.0,3904.0,0.2526533782034688
2021-06-30,2021,Q2,Midlands,region,10480.0,2314.0,0.22080152671755726
2021-06-30,2021,Q2,South East,region,11472.0,2284.0,0.1990934449093445
2021-06-30,2021,Q2,England and Wales,national,58557.0,11245.0,0.1920351110883413
2021-06-30,2021,Q2,North West,region,7231.0,1042.0,0.1441017839856175
2021-06-30,2021,Q2,North East,region,7891.0,1108.0,0.14041312888100368
2021-06-30,2021,Q2,South West,region,3928.0,401.0,0.10208757637474541
2021-06-30,2021,Q2,Wales,region,2101.0,192.0,0.09138505473584008
2021-09-30,2021,Q3,London,region,15344.0,4619.0,0.30102971845672577
2021-09-30,2021,Q3,Midlands,region,10053.0,2630.0,0.2616134487217746
2021-09-30,2021,Q3,South East,region,11329.0,2611.0,0.23047047400476653
2021-09-30,2021,Q3,England and Wales,national,57494.0,13057.0,0.22710195846523115
2021-09-30,2021,Q3,North West,region,6972.0,1244.0,0.17842799770510614
2021-09-30,2021,Q3,North East,region,7842.0,1279.0,0.16309614894159652
2021-09-30,2021,Q3,Wales,region,2097.0,243.0,0.11587982832618025
2021-09-30,2021,Q3,South West,region,3848.0,431.0,0.112006237006237
2021-12-31,2021,Q4,London,region,15102.0,5103.0,0.33790226460071515
2021-12-31,2021,Q4,Midlands,region,9710.0,2977.0,0.3065911431513903
2021-12-31,2021,Q4,South East,region,11154.0,2894.0,0.259458490227721
2021-12-31,2021,Q4,England and Wales,national,56218.0,14480.0,0.2575687502223487
2021-12-31,2021,Q4,North West,region,6832.0,1389.0,0.203307962529274
2021-12-31,2021,Q4,North East,region,7749.0,1402.0,0.18092657117047362
2021-12-31,2021,Q4,Wales,region,1963.0,256.0,0.130412633723892
2021-12-31,2021,Q4,South West,region,3698.0,459.0,0.1241211465657112
2022-03-31,2022,Q1,London,region,15099.0,5325.0,0.3526723624081065
2022-03-31,2022,Q1,Midlands,region,9643.0,3268.0,0.33889868298247433
2022-03-31,2022,Q1,South East,region,11094.0,3150.0,0.28393726338561387
2022-03-31,2022,Q1,England and Wales,national,55587.0,15399.0,0.27702520373468614
2022-03-31,2022,Q1,North West,region,6705.0,1433.0,0.21372110365398955
2022-03-31,2022,Q1,North East,region,7468.0,1435.0,0.1921531869309052
2022-03-31,2022,Q1,Wales,region,2046.0,290.0,0.14173998044965788
2022-03-31,2022,Q1,South West,region,3522.0,498.0,0.141396933560477
2022-06-30,2022,Q2,London,region,15383.0,5594.0,0.3636481830592212
2022-06-30,2022,Q2,Midlands,region,9795.0,3362.0,0.34323634507401735
2022-06-30,2022,Q2,South East,region,11472.0,3361.0,0.2929741980474198
2022-06-30,2022,Q2,England and Wales,national,56860.0,16171.0,0.2844002813928948
2022-06-30,2022,Q2,North West,region,6940.0,1507.0,0.21714697406340058
2022-06-30,2022,Q2,North East,region,7532.0,1517.0,0.2014073287307488
2022-06-30,2022,Q2,Wales,region,2063.0,329.0,0.159476490547746
2022-06-30,2022,Q2,South West,region,3657.0,500.0,0.13672409078479628
2022-09-30,2022,Q3,London,region,15650.0,5551.0,0.3546964856230032
2022-09-30,2022,Q3,Midlands,region,10129.0,3494.0,0.3449501431533221
2022-09-30,2022,Q3,South East,region,12480.0,3752.0,0.3006410256410256
2022-09-30,2022,Q3,England and Wales,national,60090.0,16901.0,0.281261441171576
2022-09-30,2022,Q3,North East,region,7878.0,1615.0,0.205001269357705
2022-09-30,2022,Q3,North West,region,7748.0,1587.0,0.2048270521424884
2022-09-30,2022,Q3,Wales,region,2228.0,338.0,0.15170556552962297
2022-09-30,2022,Q3,South West,region,3963.0,562.0,0.14181175876860963
2022-12-31,2022,Q4,London,region,15362.0,5399.0,0.3514516339018357
2022-12-31,2022,Q4,Midlands,region,10141.0,3361.0,0.33142688097820727
2022-12-31,2022,Q4,South East,region,12382.0,3789.0,0.306008722338879
2022-12-31,2022,Q4,England and Wales,national,59571.0,16731.0,0.2808581356700408
2022-12-31,2022,Q4,North West,region,7710.0,1632.0,0.21167315175097276
2022-12-31,2022,Q4,North East,region,7793.0,1648.0,0.21147183369690747
2022-12-31,2022,Q4,South West,region,4085.0,602.0,0.14736842105263157
2022-12-31,2022,Q4,Wales,region,2090.0,298.0,0.14258373205741626
2023-03-31,2023,Q1,London,region,14352.0,5312.0,0.3701226309921962
2023-03-31,2023,Q1,Midlands,region,10290.0,3299.0,0.3206025267249757
2023-03-31,2023,Q1,South East,region,12328.0,3759.0,0.3049156391953277
2023-03-31,2023,Q1,England and Wales,national,58787.0,16530.0,0.28118461564631636
2023-03-31,2023,Q1,North West,region,7700.0,1620.0,0.21038961038961038
2023-03-31,2023,Q1,North East,region,7832.0,1577.0,0.20135342185903984
2023-03-31,2023,Q1,South West,region,4171.0,649.0,0.1555981778949892
2023-03-31,2023,Q1,Wales,region,2109.0,312.0,0.14793741109530584
2023-06-30,2023,Q2,London,region,14065.0,5171.0,0.3676501955207963
2023-06-30,2023,Q2,Midlands,region,10920.0,3217.0,0.2945970695970696
2023-06-30,2023,Q2,South East,region,13124.0,3838.0,0.2924413288631515
2023-06-30,2023,Q2,England and Wales,national,61452.0,16529.0,0.2689741586929636
2023-06-30,2023,Q2,North West,region,8172.0,1677.0,0.2052129221732746
2023-06-30,2023,Q2,North East,region,8439.0,1601.0,0.1897144211399455
2023-06-30,2023,Q2,South West,region,4487.0,693.0,0.1544461778471139
2023-06-30,2023,Q2,Wales,region,2239.0,329.0,0.14694059848146493
2023-09-30,2023,Q3,London,region,14011.0,5067.0,0.3616444222396688
2023-09-30,2023,Q3,Midlands,region,10944.0,3151.0,0.2879203216374269
2023-09-30,2023,Q3,South East,region,13651.0,3869.0,0.28342245989304815
2023-09-30,2023,Q3,England and Wales,national,63083.0,16310.0,0.25854826181380086
2023-09-30,2023,Q3,North West,region,8489.0,1695.0,0.19967016138532218
2023-09-30,2023,Q3,North East,region,8802.0,1545.0,0.17552828902522155
2023-09-30,2023,Q3,Wales,region,2247.0,312.0,0.13885180240320427
2023-09-30,2023,Q3,South West,region,4919.0,669.0,0.13600325269363692
2023-12-31,2023,Q4,London,region,13523.0,4865.0,0.3597574502699105
2023-12-31,2023,Q4,South East,region,13985.0,3918.0,0.2801573114050769
2023-12-31,2023,Q4,Midlands,region,11052.0,3059.0,0.27678248280854145
2023-12-31,2023,Q4,England and Wales,national,63737.0,16126.0,0.25300845662644933
2023-12-31,2023,Q4,North West,region,8766.0,1705.0,0.1945014830025097
2023-12-31,2023,Q4,North East,region,8952.0,1570.0,0.17537980339588918
2023-12-31,2023,Q4,South West,region,5072.0,705.0,0.13899842271293375
2023-12-31,2023,Q4,Wales,region,2371.0,302.0,0.12737241670181357
2024-03-31,2024,Q1,London,region,13466.0,4596.0,0.3413040249517303
2024-03-31,2024,Q1,South East,region,14622.0,4035.0,0.27595404185473943
2024-03-31,2024,Q1,Midlands,region,11230.0,3014.0,0.2683882457702582
2024-03-31,2024,Q1,England and Wales,national,65379.0,16134.0,0.2467764878630753
2024-03-31,2024,Q1,North West,region,9101.0,1749.0,0.1921766838808922
2024-03-31,2024,Q1,North East,region,9256.0,1677.0,0.18117977528089887
2024-03-31,2024,Q1,South West,region,5217.0,743.0,0.1424190147594403
2024-03-31,2024,Q1,Wales,region,2468.0,318.0,0.12884927066450566
2024-06-30,2024,Q2,London,region,13649.0,4302.0,0.31518792585537403
2024-06-30,2024,Q2,South East,region,15083.0,4266.0,0.28283497977855865
2024-06-30,2024,Q2,Midlands,region,11635.0,3101.0,0.2665234207133648
2024-06-30,2024,Q2,England and Wales,national,67273.0,16311.0,0.2424598278655627
2024-06-30,2024,Q2,North West,region,9487.0,1797.0,0.18941709708021504
2024-06-30,2024,Q2,North East,region,9598.0,1755.0,0.18285059387372368
2024-06-30,2024,Q2,South West,region,5251.0,784.0,0.1493048943058465
2024-06-30,2024,Q2,Wales,region,2552.0,305.0,0.1195141065830721
2024-09-30,2024,Q3,South East,region,15123.0,4338.0,0.28684784764927596
2024-09-30,2024,Q3,London,region,14214.0,3937.0,0.27698044181792597
2024-09-30,2024,Q3,Midlands,region,11766.0,3096.0,0.2631310555838858
2024-09-30,2024,Q3,England and Wales,national,69065.0,16149.0,0.2338232100195468
2024-09-30,2024,Q3,North West,region,9706.0,1882.0,0.19390067999175767
2024-09-30,2024,Q3,North East,region,10108.0,1836.0,0.18163830629204591
2024-09-30,2024,Q3,South West,region,5416.0,780.0,0.14401772525849335
2024-09-30,2024,Q3,Wales,region,2707.0,274.0,0.10121906169190986
2024-12-31,2024,Q4,South East,region,15202.0,4436.0,0.29180371003815286
2024-12-31,2024,Q4,London,region,15016.0,3979.0,0.2649840170484816
2024-12-31,2024,Q4,Midlands,region,12123.0,3192.0,0.2633011630784459
2024-12-31,2024,Q4,England and Wales,national,70223.0,16584.0,0.23616194124432166
2024-12-31,2024,Q4,North West,region,9669.0,1975.0,0.20426104043851484
2024-12-31,2024,Q4,North East,region,9950.0,1896.0,0.19055276381909547
2024-12-31,2024,Q4,South West,region,5686.0,825.0,0.14509321139641224
2024-12-31,2024,Q4,Wales,region,2546.0,273.0,0.10722702278083268
2025-03-31,2025,Q1,South East,region,15287.0,4731.0,0.3094786419833846
2025-03-31,2025,Q1,London,region,16440.0,4358.0,0.2650851581508516
2025-03-31,2025,Q1,Midlands,region,12599.0,3288.0,0.2609730931026272
2025-03-31,2025,Q1,England and Wales,national,72439.0,17844.0,0.24633139607117713
2025-03-31,2025,Q1,North West,region,9501.0,2116.0,0.22271339858962214
2025-03-31,2025,Q1,North East,region,10160.0,2129.0,0.2095472440944882
2025-03-31,2025,Q1,South West,region,5746.0,898.0,0.15628263139575357
2025-03-31,2025,Q1,Wales,region,2672.0,314.0,0.11751497005988024
2025-06-30,2025,Q2,South East,region,15367.0,4882.0,0.31769375935446087
2025-06-30,2025,Q2,London,region,17091.0,4732.0,0.2768708677081505
2025-06-30,2025,Q2,Midlands,region,12989.0,3472.0,0.26730310262529833
2025-06-30,2025,Q2,England and Wales,national,73923.0,18964.0,0.2565372076349715
2025-06-30,2025,Q2,North East,region,10219.0,2326.0,0.22761522653880029
2025-06-30,2025,Q2,North West,region,9661.0,2166.0,0.2242003933340234
2025-06-30,2025,Q2,South West,region,5788.0,1042.0,0.18002764340013822
2025-06-30,2025,Q2,Wales,region,2779.0,332.0,0.11946743432889528
2025-09-30,2025,Q3,South East,region,15412.0,5000.0,0.3244225279003374
2025-09-30,2025,Q3,London,region,17700.0,5293.0,0.29903954802259886
2025-09-30,2025,Q3,Midlands,region,13377.0,3607.0,0.2696419227031472
2025-09-30,2025,Q3,England and Wales,national,75230.0,20052.0,0.26654260268509905
2025-09-30,2025,Q3,North West,region,9529.0,2205.0,0.2313988876062546
2025-09-30,2025,Q3,North East,region,10440.0,2375.0,0.2274904214559387
2025-09-30,2025,Q3,South West,region,5885.0,1213.0,0.20611724723874256
2025-09-30,2025,Q3,Wales,region,2828.0,341.0,0.12057991513437058
2025-12-31,2025,Q4,South East,region,15176.0,4989.0,0.3287427517132314
2025-12-31,2025,Q4,London,region,18260.0,5866.0,0.3212486308871851
2025-12-31,2025,Q4,Midlands,region,13582.0,3830.0,0.2819908702694743
2025-12-31,2025,Q4,England and Wales,national,75799.0,21002.0,0.2770748954471695
2025-12-31,2025,Q4,North West,region,9406.0,2222.0,0.23623219221773337
2025-12-31,2025,Q4,North East,region,10459.0,2398.0,0.22927622143608375
2025-12-31,2025,Q4,South West,region,6030.0,1296.0,0.21492537313432836
2025-12-31,2025,Q4,Wales,region,2787.0,384.0,0.1377825618945102
