quarter_end,year,quarter,remand_status,age_band,age_order,count
2016-03-31,2016,Q1,Bail,Under 4 weeks,1.0,3349.0
2016-03-31,2016,Q1,Bail,4 to 8 weeks,2.0,3143.0
2016-03-31,2016,Q1,Bail,8 to 12 weeks,3.0,2569.0
2016-03-31,2016,Q1,Bail,12 to 16 weeks,4.0,2407.0
2016-03-31,2016,Q1,Bail,16 to 20 weeks,5.0,2468.0
2016-03-31,2016,Q1,Bail,20 to 26 weeks,6.0,3212.0
2016-03-31,2016,Q1,Bail,6 months to under 1 year,7.0,6876.0
2016-03-31,2016,Q1,Bail,1 to 2 years,8.0,3468.0
2016-03-31,2016,Q1,Bail,2 years or more,9.0,509.0
2016-03-31,2016,Q1,Custody,Under 4 weeks,1.0,1900.0
2016-03-31,2016,Q1,Custody,4 to 8 weeks,2.0,1641.0
2016-03-31,2016,Q1,Custody,8 to 12 weeks,3.0,1378.0
2016-03-31,2016,Q1,Custody,12 to 16 weeks,4.0,1190.0
2016-03-31,2016,Q1,Custody,16 to 20 weeks,5.0,1051.0
2016-03-31,2016,Q1,Custody,20 to 26 weeks,6.0,1241.0
2016-03-31,2016,Q1,Custody,6 months to under 1 year,7.0,1433.0
2016-03-31,2016,Q1,Custody,1 to 2 years,8.0,449.0
2016-03-31,2016,Q1,Custody,2 years or more,9.0,92.0
2016-03-31,2016,Q1,Unknown,Under 4 weeks,1.0,44.0
2016-03-31,2016,Q1,Unknown,4 to 8 weeks,2.0,87.0
2016-03-31,2016,Q1,Unknown,8 to 12 weeks,3.0,88.0
2016-03-31,2016,Q1,Unknown,12 to 16 weeks,4.0,69.0
2016-03-31,2016,Q1,Unknown,16 to 20 weeks,5.0,77.0
2016-03-31,2016,Q1,Unknown,20 to 26 weeks,6.0,106.0
2016-03-31,2016,Q1,Unknown,6 months to under 1 year,7.0,275.0
2016-03-31,2016,Q1,Unknown,1 to 2 years,8.0,146.0
2016-03-31,2016,Q1,Unknown,2 years or more,9.0,116.0
2016-06-30,2016,Q2,Bail,Under 4 weeks,1.0,3575.0
2016-06-30,2016,Q2,Bail,4 to 8 weeks,2.0,2894.0
2016-06-30,2016,Q2,Bail,8 to 12 weeks,3.0,2447.0
2016-06-30,2016,Q2,Bail,12 to 16 weeks,4.0,2156.0
2016-06-30,2016,Q2,Bail,16 to 20 weeks,5.0,2024.0
2016-06-30,2016,Q2,Bail,20 to 26 weeks,6.0,2646.0
2016-06-30,2016,Q2,Bail,6 months to under 1 year,7.0,6709.0
2016-06-30,2016,Q2,Bail,1 to 2 years,8.0,3131.0
2016-06-30,2016,Q2,Bail,2 years or more,9.0,525.0
2016-06-30,2016,Q2,Custody,Under 4 weeks,1.0,1847.0
2016-06-30,2016,Q2,Custody,4 to 8 weeks,2.0,1526.0
2016-06-30,2016,Q2,Custody,8 to 12 weeks,3.0,1160.0
2016-06-30,2016,Q2,Custody,12 to 16 weeks,4.0,894.0
2016-06-30,2016,Q2,Custody,16 to 20 weeks,5.0,852.0
2016-06-30,2016,Q2,Custody,20 to 26 weeks,6.0,984.0
2016-06-30,2016,Q2,Custody,6 months to under 1 year,7.0,1399.0
2016-06-30,2016,Q2,Custody,1 to 2 years,8.0,427.0
2016-06-30,2016,Q2,Custody,2 years or more,9.0,88.0
2016-06-30,2016,Q2,Unknown,Under 4 weeks,1.0,41.0
2016-06-30,2016,Q2,Unknown,4 to 8 weeks,2.0,85.0
2016-06-30,2016,Q2,Unknown,8 to 12 weeks,3.0,95.0
2016-06-30,2016,Q2,Unknown,12 to 16 weeks,4.0,97.0
2016-06-30,2016,Q2,Unknown,16 to 20 weeks,5.0,88.0
2016-06-30,2016,Q2,Unknown,20 to 26 weeks,6.0,104.0
2016-06-30,2016,Q2,Unknown,6 months to under 1 year,7.0,284.0
