quarter_end,year,quarter,remand_status,open_valid,open_1yr_plus,share_1yr_plus
2016-03-31,2016,Q1,Bail,28001.0,3977.0,0.14203064176279417
2016-03-31,2016,Q1,Custody,10375.0,541.0,0.05214457831325301
2016-03-31,2016,Q1,Unknown,1008.0,262.0,0.25992063492063494
2016-06-30,2016,Q2,Bail,26107.0,3656.0,0.14003906998123108
2016-06-30,2016,Q2,Custody,9177.0,515.0,0.056118557262722024
2016-06-30,2016,Q2,Unknown,1031.0,237.0,0.22987390882638215
2016-09-30,2016,Q3,Bail,24485.0,3442.0,0.1405758627731264
2016-09-30,2016,Q3,Custody,9362.0,573.0,0.06120487075411237
2016-09-30,2016,Q3,Unknown,1069.0,260.0,0.2432179607109448
2016-12-31,2016,Q4,Bail,23826.0,3304.0,0.13867203894904725
2016-12-31,2016,Q4,Custody,9450.0,533.0,0.056402116402116405
2016-12-31,2016,Q4,Unknown,1078.0,288.0,0.26716141001855287
2017-03-31,2017,Q1,Bail,22625.0,2764.0,0.12216574585635359
2017-03-31,2017,Q1,Custody,9554.0,467.0,0.04888005024073686
2017-03-31,2017,Q1,Unknown,994.0,277.0,0.27867203219315895
2017-06-30,2017,Q2,Bail,21946.0,2571.0,0.11715118928278502
2017-06-30,2017,Q2,Custody,9603.0,460.0,0.04790169738623347
2017-06-30,2017,Q2,Unknown,984.0,274.0,0.2784552845528455
2017-09-30,2017,Q3,Bail,20721.0,2382.0,0.11495584189952222
2017-09-30,2017,Q3,Custody,10012.0,409.0,0.04085097882540951
2017-09-30,2017,Q3,Unknown,972.0,292.0,0.3004115226337449
2017-12-31,2017,Q4,Bail,20103.0,2265.0,0.11266975078346515
2017-12-31,2017,Q4,Custody,9615.0,438.0,0.045553822152886114
2017-12-31,2017,Q4,Unknown,918.0,269.0,0.29302832244008714
2018-03-31,2018,Q1,Bail,18401.0,2143.0,0.11646106189880985
2018-03-31,2018,Q1,Custody,9151.0,461.0,0.050377007977270245
2018-03-31,2018,Q1,Unknown,897.0,248.0,0.27647714604236345
2018-06-30,2018,Q2,Bail,17181.0,2148.0,0.1250218264361795
2018-06-30,2018,Q2,Custody,9164.0,460.0,0.0501964207769533
2018-06-30,2018,Q2,Unknown,816.0,239.0,0.2928921568627451
2018-09-30,2018,Q3,Bail,16192.0,1945.0,0.12012104743083003
2018-09-30,2018,Q3,Custody,9269.0,491.0,0.052972273168626606
2018-09-30,2018,Q3,Unknown,765.0,233.0,0.3045751633986928
2018-12-31,2018,Q4,Bail,15567.0,1611.0,0.10348814800539603
2018-12-31,2018,Q4,Custody,8621.0,375.0,0.04349843405637397
2018-12-31,2018,Q4,Unknown,719.0,213.0,0.29624478442280944
2019-03-31,2019,Q1,Bail,15638.0,1395.0,0.0892057807903824
2019-03-31,2019,Q1,Custody,8582.0,395.0,0.04602656723374505
2019-03-31,2019,Q1,Unknown,717.0,196.0,0.2733612273361227
2019-06-30,2019,Q2,Bail,16415.0,1288.0,0.07846481876332623
2019-06-30,2019,Q2,Custody,8750.0,366.0,0.04182857142857143
2019-06-30,2019,Q2,Unknown,742.0,182.0,0.24528301886792453
2019-09-30,2019,Q3,Bail,16979.0,1327.0,0.0781553683962542
2019-09-30,2019,Q3,Custody,9255.0,408.0,0.044084278768233384
2019-09-30,2019,Q3,Unknown,477.0,162.0,0.33962264150943394
2019-12-31,2019,Q4,Bail,18583.0,1392.0,0.07490717322283807
2019-12-31,2019,Q4,Custody,9407.0,423.0,0.044966514297863296
2019-12-31,2019,Q4,Unknown,706.0,178.0,0.2521246458923513
2020-03-31,2020,Q1,Bail,19943.0,1858.0,0.09316552173695031
2020-03-31,2020,Q1,Custody,9920.0,484.0,0.04879032258064516
2020-03-31,2020,Q1,Unknown,1042.0,192.0,0.18426103646833014
2020-06-30,2020,Q2,Bail,21245.0,3241.0,0.1525535420098847
2020-06-30,2020,Q2,Custody,11021.0,689.0,0.0625170129752291
2020-06-30,2020,Q2,Unknown,1025.0,267.0,0.2604878048780488
2020-09-30,2020,Q3,Bail,27075.0,5110.0,0.18873499538319483
2020-09-30,2020,Q3,Custody,12149.0,960.0,0.07901884928800725
2020-09-30,2020,Q3,Unknown,1151.0,398.0,0.34578627280625546
2020-12-31,2020,Q4,Bail,31316.0,7228.0,0.23080853237961427
2020-12-31,2020,Q4,Custody,12313.0,1416.0,0.11500040607488021
2020-12-31,2020,Q4,Unknown,1260.0,532.0,0.4222222222222222
2021-03-31,2021,Q1,Bail,33859.0,8585.0,0.2535514929560826
2021-03-31,2021,Q1,Custody,12307.0,1648.0,0.1339075322986918
2021-03-31,2021,Q1,Unknown,1223.0,536.0,0.4382665576451349
2021-06-30,2021,Q2,Bail,34265.0,7952.0,0.232073544433095
2021-06-30,2021,Q2,Custody,12524.0,1679.0,0.13406259980836793
2021-06-30,2021,Q2,Unknown,1235.0,474.0,0.3838056680161943
2021-09-30,2021,Q3,Bail,32983.0,9438.0,0.2861474092714429
2021-09-30,2021,Q3,Custody,12673.0,1929.0,0.15221336700071017
2021-09-30,2021,Q3,Unknown,1300.0,517.0,0.3976923076923077
2021-12-31,2021,Q4,Bail,31857.0,10677.0,0.3351539693003108
2021-12-31,2021,Q4,Custody,12583.0,2017.0,0.16029563697051577
2021-12-31,2021,Q4,Unknown,1289.0,540.0,0.4189294026377037
2022-03-31,2022,Q1,Bail,31410.0,11326.0,0.3605858007004139
2022-03-31,2022,Q1,Custody,12337.0,2092.0,0.1695712085596174
2022-03-31,2022,Q1,Unknown,1207.0,614.0,0.5086992543496272
2022-06-30,2022,Q2,Bail,31878.0,11799.0,0.37012987012987014
2022-06-30,2022,Q2,Custody,12732.0,2241.0,0.17601319509896324
2022-06-30,2022,Q2,Unknown,1226.0,641.0,0.5228384991843393
2022-09-30,2022,Q3,Bail,33452.0,12236.0,0.36577783092191796
2022-09-30,2022,Q3,Custody,13723.0,2382.0,0.17357720615025868
2022-09-30,2022,Q3,Unknown,1254.0,669.0,0.5334928229665071
2022-12-31,2022,Q4,Bail,33594.0,12127.0,0.3609870810263738
2022-12-31,2022,Q4,Custody,13349.0,2312.0,0.17319649411940968
2022-12-31,2022,Q4,Unknown,1324.0,682.0,0.5151057401812689
2023-03-31,2023,Q1,Bail,32995.0,11950.0,0.3621760872859524
2023-03-31,2023,Q1,Custody,13453.0,2280.0,0.16947892663346464
2023-03-31,2023,Q1,Unknown,1228.0,666.0,0.5423452768729642
2023-06-30,2023,Q2,Bail,33691.0,11881.0,0.3526461072690036
2023-06-30,2023,Q2,Custody,14218.0,2240.0,0.1575467716978478
2023-06-30,2023,Q2,Unknown,1171.0,684.0,0.5841161400512382
2023-09-30,2023,Q3,Bail,34028.0,11797.0,0.34668508287292815
2023-09-30,2023,Q3,Custody,14846.0,2129.0,0.14340563114643676
2023-09-30,2023,Q3,Unknown,1197.0,738.0,0.6165413533834586
2023-12-31,2023,Q4,Bail,34661.0,11715.0,0.3379879403364011
2023-12-31,2023,Q4,Custody,14800.0,1969.0,0.13304054054054054
2023-12-31,2023,Q4,Unknown,1123.0,728.0,0.6482635796972396
2024-03-31,2024,Q1,Bail,35675.0,11638.0,0.3262228451296426
2024-03-31,2024,Q1,Custody,15072.0,1970.0,0.1307059447983015
2024-03-31,2024,Q1,Unknown,1016.0,705.0,0.6938976377952756
2024-06-30,2024,Q2,Bail,36954.0,11843.0,0.3204795150727932
2024-06-30,2024,Q2,Custody,15581.0,1910.0,0.12258519992298313
2024-06-30,2024,Q2,Unknown,996.0,728.0,0.7309236947791165
2024-09-30,2024,Q3,Bail,38343.0,11966.0,0.3120778238531153
2024-09-30,2024,Q3,Custody,16079.0,1903.0,0.11835313141364513
2024-09-30,2024,Q3,Unknown,889.0,638.0,0.7176602924634421
2024-12-31,2024,Q4,Bail,40111.0,12542.0,0.3126823065991873
2024-12-31,2024,Q4,Custody,15919.0,1788.0,0.11231861297820214
2024-12-31,2024,Q4,Unknown,811.0,585.0,0.7213316892725031
2025-03-31,2025,Q1,Bail,41794.0,13647.0,0.3265301239412356
2025-03-31,2025,Q1,Custody,16476.0,1875.0,0.11380189366351057
2025-03-31,2025,Q1,Unknown,779.0,548.0,0.7034659820282413
2025-06-30,2025,Q2,Bail,43802.0,14780.0,0.337427514725355
2025-06-30,2025,Q2,Custody,16507.0,1947.0,0.1179499606227661
2025-06-30,2025,Q2,Unknown,775.0,511.0,0.6593548387096774
2025-09-30,2025,Q3,Bail,45244.0,15817.0,0.3495933162408275
2025-09-30,2025,Q3,Custody,16438.0,2021.0,0.12294683051466115
2025-09-30,2025,Q3,Unknown,747.0,491.0,0.6572958500669344
2025-12-31,2025,Q4,Bail,46511.0,16806.0,0.3613338780073531
2025-12-31,2025,Q4,Custody,15878.0,1958.0,0.12331527900239325
2025-12-31,2025,Q4,Unknown,760.0,504.0,0.6631578947368421
