quarter_end,year,quarter,offence_to_completion_mean,offence_to_completion_median,charge_to_completion_at_the_crown_court_mean,charge_to_completion_at_the_crown_court_median
2016-03-31,2016,Q1,500.0,242.0,203.0,160.0
2016-06-30,2016,Q2,575.0,260.0,212.0,168.0
2016-09-30,2016,Q3,568.0,261.0,210.0,165.0
2016-12-31,2016,Q4,577.0,248.0,202.0,151.0
2017-03-31,2017,Q1,525.0,237.0,191.0,141.0
2017-06-30,2017,Q2,509.0,235.0,187.0,139.0
2017-09-30,2017,Q3,538.0,231.0,183.0,139.0
2017-12-31,2017,Q4,522.0,229.0,186.0,147.0
2018-03-31,2018,Q1,517.0,233.0,186.0,148.0
2018-06-30,2018,Q2,544.0,244.0,194.0,156.0
2018-09-30,2018,Q3,512.0,229.0,188.0,145.0
2018-12-31,2018,Q4,497.0,233.0,193.0,147.0
2019-03-31,2019,Q1,475.0,242.0,190.0,142.0
2019-06-30,2019,Q2,486.0,253.0,183.0,135.0
2019-09-30,2019,Q3,478.0,252.0,178.0,134.0
2019-12-31,2019,Q4,479.0,254.0,181.0,134.0
2020-03-31,2020,Q1,470.0,252.0,182.0,134.0
2020-06-30,2020,Q2,358.0,210.0,174.0,134.0
2020-09-30,2020,Q3,426.0,280.0,205.0,168.0
2020-12-31,2020,Q4,490.0,318.0,220.0,178.0
2021-03-31,2021,Q1,530.0,352.0,241.0,188.0
2021-06-30,2021,Q2,582.0,378.0,261.0,201.0
2021-09-30,2021,Q3,642.0,398.0,278.0,211.0
2021-12-31,2021,Q4,657.0,401.0,293.0,222.0
2022-03-31,2022,Q1,642.0,405.0,294.0,211.0
2022-06-30,2022,Q2,665.0,383.0,295.0,191.0
2022-09-30,2022,Q3,648.0,361.0,282.0,177.0
2022-12-31,2022,Q4,636.0,379.0,307.0,195.0
2023-03-31,2023,Q1,679.0,397.0,315.0,205.0
2023-06-30,2023,Q2,704.0,381.0,312.0,192.0
2023-09-30,2023,Q3,662.0,356.0,297.0,177.0
2023-12-31,2023,Q4,673.0,333.0,298.0,179.0
2024-03-31,2024,Q1,659.0,340.0,289.0,179.0
2024-06-30,2024,Q2,696.0,334.0,288.0,176.0
2024-09-30,2024,Q3,686.0,327.0,288.0,170.0
2024-12-31,2024,Q4,673.0,313.0,279.0,172.0
2025-03-31,2025,Q1,677.0,326.0,283.0,180.0
2025-06-30,2025,Q2,682.0,333.0,279.0,179.0
2025-09-30,2025,Q3,677.0,344.0,285.0,178.0
2025-12-31,2025,Q4,707.0,346.0,290.0,181.0
