quarter_end,year,quarter,hearing_mean_hearings,hearing_mean_hours,hearing_median_hours,waiting_mean_weeks,waiting_median_weeks
2016-03-31,2016,Q1,3.630070272920412,3.317259900855259,0.8666666666666667,18.22884117191465,12.428571428571429
2016-06-30,2016,Q2,3.605886095021261,3.633812680662046,0.9333333333333333,18.318005372033724,11.428571428571429
2016-09-30,2016,Q3,3.438666151305387,3.575363388266173,0.9166666666666666,17.76218838029861,9.285714285714286
2016-12-31,2016,Q4,3.4392626377803115,3.756657798048901,0.9166666666666666,17.73284988600043,9.142857142857142
2017-03-31,2017,Q1,3.355298277236646,3.581242561845011,0.9166666666666666,17.40552553517108,9.0
2017-06-30,2017,Q2,3.3214074512123006,3.6539510644588984,0.9,16.74215734859066,8.285714285714286
2017-09-30,2017,Q3,3.275510965239445,3.542779352528726,0.9,16.629681295183797,8.142857142857142
2017-12-31,2017,Q4,3.35330427066857,3.6217597057726705,0.9333333333333333,16.67453553059723,9.0
2018-03-31,2018,Q1,3.3357981898709803,3.407866358559602,0.9166666666666666,16.614495021036387,8.857142857142858
2018-06-30,2018,Q2,3.4163524590163936,3.7681270491803365,0.95,16.859542691944934,9.142857142857142
2018-09-30,2018,Q3,3.32732052578362,3.508099089989895,0.9166666666666666,16.459686199521403,8.0
2018-12-31,2018,Q4,3.435706084959816,3.7676118036192734,0.9166666666666666,16.153367023151958,8.142857142857142
2019-03-31,2019,Q1,3.2897949118408616,3.53350321263682,0.8833333333333333,15.471971567569394,7.857142857142857
2019-06-30,2019,Q2,3.316309436879859,3.486004323983799,0.8666666666666667,14.989231194267608,7.285714285714286
2019-09-30,2019,Q3,3.2330476430552055,3.1036593563566206,0.8333333333333334,14.47097495501684,7.0
2019-12-31,2019,Q4,3.316641855009699,3.361239680606316,0.8666666666666667,14.885349838197865,7.714285714285714
2020-03-31,2020,Q1,3.224903474903475,3.0648319237604915,0.8333333333333334,14.868938636305355,7.571428571428571
2020-06-30,2020,Q2,3.392424902046147,1.99642867508344,0.9166666666666666,14.765145656096932,10.0
2020-09-30,2020,Q3,3.438782991202346,2.144025799469348,0.9166666666666666,16.43211853932175,9.142857142857142
2020-12-31,2020,Q4,3.628741938588892,2.7775186896396824,0.9333333333333333,16.928837187396994,8.142857142857142
2021-03-31,2021,Q1,3.6894274131098257,2.9026328975538704,0.95,18.927372631819964,10.0
2021-06-30,2021,Q2,3.868485360110188,3.3058996460360417,1.0166666666666666,21.50889145991345,11.142857142857142
2021-09-30,2021,Q3,3.9784922394678492,3.4274441980783483,1.0333333333333334,22.99959031680131,11.857142857142858
2021-12-31,2021,Q4,4.102669497267266,3.56805185419395,1.0666666666666667,24.442823033272322,12.571428571428571
2022-03-31,2022,Q1,4.07892368996101,3.516659525543786,1.0666666666666667,24.428877156262118,13.0
2022-06-30,2022,Q2,4.066871020985617,3.5739456103120357,1.0,23.68678419006537,11.285714285714286
2022-09-30,2022,Q3,3.9300703082747432,3.0548810167658194,0.9666666666666667,23.003790848678147,10.428571428571429
2022-12-31,2022,Q4,4.350439429404231,3.3493581533660106,1.05,25.331267326013553,12.571428571428571
2023-03-31,2023,Q1,4.3151096301781235,3.5581656999465165,1.0666666666666667,26.20509232878417,13.428571428571429
2023-06-30,2023,Q2,4.2974711235561776,3.650914420721035,1.0333333333333334,25.97066210180895,11.142857142857142
2023-09-30,2023,Q3,4.114918794424811,3.3326973222676632,0.9833333333333333,24.762881333154148,10.142857142857142
2023-12-31,2023,Q4,4.1456821625069775,3.4849845838981417,0.9666666666666667,24.679023099754797,10.428571428571429
2024-03-31,2024,Q1,4.076228498936607,3.317902938945066,0.95,24.241904426736365,10.571428571428571
2024-06-30,2024,Q2,4.07107413349252,3.5543384447014663,0.9666666666666667,24.57524118836649,10.0
2024-09-30,2024,Q3,3.950416817687568,3.1139398332729322,0.9166666666666666,24.136036155658154,9.285714285714286
2024-12-31,2024,Q4,4.023080951668413,3.1655687316075616,0.9333333333333333,23.69528994347523,9.571428571428571
2025-03-31,2025,Q1,4.019605616744257,3.0011676318080225,0.9333333333333333,23.64920194844935,10.0
2025-06-30,2025,Q2,4.0121901815637315,3.0688818915037004,0.95,24.05384734742498,10.142857142857142
2025-09-30,2025,Q3,4.0345601766654395,3.1379603729603733,0.95,24.71719317274522,10.0
2025-12-31,2025,Q4,4.046249673641416,3.320090634441095,0.9666666666666667,24.61218592714903,9.571428571428571
